Date,Adjusted Close,Linear Regression,LSTM,Random Forest Regressor
2021-08-30,152.266754,152.54232,148.03337,152.3993096
2021-08-31,150.983963,151.4200053,151.55232,150.7564941
2021-09-01,151.660172,152.0116072,151.13744,151.7586228
2021-09-02,152.793808,153.0034398,151.54536,152.9276143
2021-09-03,153.440186,153.5689559,152.48997,153.3382721
2021-09-07,155.816879,155.6483266,153.14352,155.8830684
2021-09-08,154.245667,154.273685,155.11551,154.2509785
2021-09-09,153.211472,153.3688672,154.1149,153.3789534
2021-09-10,148.139893,148.9317398,153.23547,148.2440659
2021-09-13,148.71666,149.4363402,149.33012,148.7256212
2021-09-14,147.294617,148.1921941,149.3462,147.3957533
2021-09-15,148.199539,148.9839246,148.34422,148.0595966
2021-09-16,147.960876,148.7751185,148.89265,147.9225201
2021-09-17,145.246094,146.3999401,148.79395,145.3970234
2021-09-20,142.143478,143.6854735,146.7043,142.1249643
2021-09-21,142.630753,144.1117633,144.01755,142.6668256
2021-09-22,145.037262,146.2172464,143.74725,145.0233493
2021-09-23,146.011826,147.0698794,145.3949,145.9908184
2021-09-24,146.101303,147.1481633,146.42554,145.9989718
2021-09-27,144.559952,145.7996208,146.62819,144.7149195
2021-09-28,141.119247,142.7893465,145.45076,141.0634269
2021-09-29,142.034103,143.5897813,142.7174,142.0409186
2021-09-30,140.711517,142.4326366,142.74501,140.7832357
2021-10-01,141.855103,143.4331599,141.86987,141.9545598
2021-10-04,138.364655,140.379365,142.4703,139.0964904
2021-10-05,140.3237,142.0933216,140.23024,140.3146035
2021-10-06,141.20874,142.8676438,140.96387,140.6690067
2021-10-07,142.491547,143.9899853,141.77448,142.5292772
2021-10-08,142.103699,143.6506569,142.82158,142.0872746
2021-10-11,142.014206,143.5723596,142.73001,142.0819886
2021-10-12,140.721451,142.4413274,142.5748,140.7410315
2021-10-13,140.124802,141.9193187,141.63528,140.207951
2021-10-14,142.958923,144.3988934,140.98962,142.703622
2021-10-15,144.032898,145.3385144,142.84193,143.9907528
2021-10-18,145.733383,146.82627,144.10808,145.3689827
